time (days since 2002-01-01) 	 cmWE
105.5	24.8121
129.5	25.1567
228.0	20.0086
258.5	17.5901
289.0	16.1528
319.5	16.8052
350.0	20.5069
381.0	25.5655
410.5	18.1137
440.0	17.5727
470.5	23.7296
496.0	24.908
562.0	18.1188
593.0	14.2683
623.5	6.75886
654.0	11.205
684.5	9.67841
715.0	13.9727
737.0	15.6512
777.5	15.0911
806.0	17.2954
836.5	19.5534
867.0	21.6557
897.5	19.7977
928.0	15.1331
959.0	3.94096
989.5	7.22512
1020.0	8.39175
1050.5	6.12429
1081.0	8.39958
1112.0	7.02707
1141.5	12.7197
1171.0	18.1277
1201.5	17.3298
1232.0	16.006
1262.5	17.6311
1293.0	10.2927
1324.0	5.55737
1354.5	3.56341
1385.0	6.54248
1415.5	2.86824
1446.0	4.45868
1477.0	6.96885
1506.5	12.7366
1536.0	13.1626
1566.5	11.9144
1597.0	10.8573
1627.5	14.288
1658.0	10.7907
1689.0	2.90703
1719.5	-1.70166
1750.0	-0.986848
1780.5	-0.452262
1811.0	-0.0931926
1842.0	1.5846
1871.5	7.23988
1901.0	5.06684
1931.5	2.2585
1962.0	4.08261
1992.5	6.98478
2023.0	-0.378215
2054.0	-12.504
2084.5	-19.3202
2115.0	-14.8334
2145.5	-12.1448
2176.0	-4.90526
2207.0	-7.92501
2237.0	-7.27542
2267.0	-4.16361
2297.5	-6.91647
2328.0	-7.31234
2358.5	-6.41315
2389.0	-11.2066
2420.0	-23.2911
2450.5	-22.1567
2481.0	-17.3522
2511.5	-13.2497
2542.0	-15.9911
2573.0	-13.1063
2602.5	-8.68802
2632.0	-10.0867
2662.5	-7.65119
2693.0	-9.4126
2723.5	-7.55728
2754.0	-13.9384
2785.0	-20.224
2815.5	-24.9202
2846.0	-22.338
2876.5	-24.0775
2907.0	-18.653
2938.0	-19.9
2967.5	-18.6196
2997.0	-15.5382
3027.5	-17.757
3058.0	-15.8845
3088.5	-18.2021
3119.0	-28.9711
3150.0	-39.4089
3180.5	-42.815
3211.0	-47.1572
3241.5	-45.8301
3272.0	-41.8678
3336.0	-43.9709
3362.0	-43.7476
3392.5	-37.9361
3423.0	-39.6755
3487.0	-50.9958
3515.0	-59.0218
3545.5	-62.1975
3576.0	-62.3109
3592.0	-63.8785
3653.5	-58.3863
3668.0	-60.5424
3698.0	-58.7607
3728.0	-56.6789
3753.0	-54.0614
3819.5	-52.4458
3850.0	-65.794
3881.0	-84.4891
3908.5	-86.5434
3976.5	-78.9879
4003.0	-84.5231
4034.0	-81.0224
4062.5	-77.3166
4129.0	-76.2106
4154.0	-76.8423
4184.5	-76.026
4215.0	-78.8244
4307.0	-86.1657
4337.5	-82.7406
4368.0	-79.1512
4392.0	-78.4626
4459.0	-80.9742
4488.5	-77.5694
4519.0	-78.0555
4546.5	-76.2331
4611.0	-91.6409
4641.5	-95.834
4672.0	-94.0137
4703.5	-87.6296
4770.0	-89.3128
4793.5	-85.2807
4823.0	-85.6977
4853.5	-85.7054
